LOC,bug,PDA,LLOC,Parent,PUA,CLOC,LongName,Name,ID
122,,0,115,L138203,2,54,GenerateBuildScript,GenerateBuildScript,L138276
6,,0,6,L138303,2,1,GenerateBuildScript$1,GenerateBuildScript$1,L138308
6,,0,6,L138303,2,1,GenerateBuildScript$2,GenerateBuildScript$2,L138315
28,,1,19,L138203,4,1,InheritanceA,InheritanceA,L138210
3,,0,3,L138210,1,0,InheritanceA$AChild,InheritanceA$AChild,L138221
3,,0,3,L138210,1,0,InheritanceA$AEnum,InheritanceA$AEnum,L138228
3,,0,3,L138210,1,0,InheritanceA$AIntf,InheritanceA$AIntf,L138225
1,,0,1,L138210,1,0,InheritanceA$ANotAnnotated,InheritanceA$ANotAnnotated,L138223
8,,0,4,L138203,2,0,InheritanceB,InheritanceB,L138241
1,,0,1,L138241,1,0,InheritanceB$BChild,InheritanceB$BChild,L138246
1,,0,1,L138241,1,0,InheritanceB$BIntf,InheritanceB$BIntf,L138256
1,,0,1,L138241,1,0,InheritanceB$BNotAnnotated,InheritanceB$BNotAnnotated,L138251
1,,1,1,L138203,0,7,NotInheritedAnno,NotInheritedAnno,L138213
6,,0,6,L138203,2,0,X,X,L138262
7,,2,3,L107,0,28,com.sun.mirror.apt.AnnotationProcessor,AnnotationProcessor,L131
122,,13,15,L107,0,112,com.sun.mirror.apt.AnnotationProcessorEnvironment,AnnotationProcessorEnvironment,L138
54,,4,6,L107,0,60,com.sun.mirror.apt.AnnotationProcessorFactory,AnnotationProcessorFactory,L214
1,,1,1,L107,0,8,com.sun.mirror.apt.AnnotationProcessorListener,AnnotationProcessorListener,L208
45,,3,9,L107,0,32,com.sun.mirror.apt.AnnotationProcessors,AnnotationProcessors,L241
31,,4,15,L241,0,18,com.sun.mirror.apt.AnnotationProcessors$CompositeAnnotationProcessor,AnnotationProcessors$CompositeAnnotationProcessor,L252
4,,0,4,L241,2,0,com.sun.mirror.apt.AnnotationProcessors$NoOpAP,AnnotationProcessors$NoOpAP,L249
86,,5,11,L107,0,93,com.sun.mirror.apt.Filer,Filer,L158
6,,1,4,L158,0,5,com.sun.mirror.apt.Filer$Location,Filer$Location,L319
47,,7,8,L107,0,43,com.sun.mirror.apt.Messager,Messager,L153
31,,3,15,L107,0,25,com.sun.mirror.apt.RoundCompleteEvent,RoundCompleteEvent,L374
8,,2,3,L107,0,13,com.sun.mirror.apt.RoundCompleteListener,RoundCompleteListener,L399
25,,5,6,L107,0,24,com.sun.mirror.apt.RoundState,RoundState,L383
36,,4,5,L418,0,41,com.sun.mirror.declaration.AnnotationMirror,AnnotationMirror,L439
12,,2,3,L418,0,16,com.sun.mirror.declaration.AnnotationTypeDeclaration,AnnotationTypeDeclaration,L192
15,,3,4,L418,0,17,com.sun.mirror.declaration.AnnotationTypeElementDeclaration,AnnotationTypeElementDeclaration,L451
39,,4,5,L418,0,39,com.sun.mirror.declaration.AnnotationValue,AnnotationValue,L454
28,,4,5,L418,0,42,com.sun.mirror.declaration.ClassDeclaration,ClassDeclaration,L483
2,,1,2,L418,0,8,com.sun.mirror.declaration.ConstructorDeclaration,ConstructorDeclaration,L493
109,,9,10,L418,0,110,com.sun.mirror.declaration.Declaration,Declaration,L186
6,,2,3,L418,0,11,com.sun.mirror.declaration.EnumConstantDeclaration,EnumConstantDeclaration,L553
10,,2,3,L418,0,14,com.sun.mirror.declaration.EnumDeclaration,EnumDeclaration,L560
38,,5,6,L418,0,36,com.sun.mirror.declaration.ExecutableDeclaration,ExecutableDeclaration,L504
34,,4,5,L418,0,34,com.sun.mirror.declaration.FieldDeclaration,FieldDeclaration,L555
2,,1,2,L418,0,18,com.sun.mirror.declaration.InterfaceDeclaration,InterfaceDeclaration,L460
13,,2,3,L418,0,19,com.sun.mirror.declaration.MemberDeclaration,MemberDeclaration,L574
10,,2,3,L418,0,17,com.sun.mirror.declaration.MethodDeclaration,MethodDeclaration,L469
30,,2,20,L418,0,31,com.sun.mirror.declaration.Modifier,Modifier,L538
51,,6,7,L418,0,52,com.sun.mirror.declaration.PackageDeclaration,PackageDeclaration,L174
9,,2,3,L418,0,13,com.sun.mirror.declaration.ParameterDeclaration,ParameterDeclaration,L590
77,,8,9,L418,0,91,com.sun.mirror.declaration.TypeDeclaration,TypeDeclaration,L165
20,,3,4,L418,0,24,com.sun.mirror.declaration.TypeParameterDeclaration,TypeParameterDeclaration,L582
7,,2,3,L721,0,11,com.sun.mirror.type.AnnotationType,AnnotationType,L443
9,,2,3,L721,0,15,com.sun.mirror.type.ArrayType,ArrayType,L740
23,,3,4,L721,0,31,com.sun.mirror.type.ClassType,ClassType,L487
50,,5,6,L721,0,62,com.sun.mirror.type.DeclaredType,DeclaredType,L745
7,,2,3,L721,0,11,com.sun.mirror.type.EnumType,EnumType,L764
7,,2,3,L721,0,18,com.sun.mirror.type.InterfaceType,InterfaceType,L699
41,,4,16,L721,0,30,com.sun.mirror.type.MirroredTypeException,MirroredTypeException,L771
47,,4,21,L721,0,31,com.sun.mirror.type.MirroredTypesException,MirroredTypesException,L795
13,,2,3,L721,0,15,com.sun.mirror.type.PrimitiveType,PrimitiveType,L821
10,,1,10,L821,0,11,com.sun.mirror.type.PrimitiveType$Kind,PrimitiveType$Kind,L825
2,,1,2,L721,0,9,com.sun.mirror.type.ReferenceType,ReferenceType,L598
26,,4,5,L721,0,38,com.sun.mirror.type.TypeMirror,TypeMirror,L606
9,,2,3,L721,0,16,com.sun.mirror.type.TypeVariable,TypeVariable,L865
2,,1,2,L721,0,10,com.sun.mirror.type.VoidType,VoidType,L869
20,,3,4,L721,0,31,com.sun.mirror.type.WildcardType,WildcardType,L871
186,,10,62,L877,0,135,com.sun.mirror.util.DeclarationFilter,DeclarationFilter,L890
